
i,N,M,t,
1,331,5000,0.013760,
2,331,5000,0.461702,
1,50,3793,0.001519,
2,50,3793,0.013669,
1,332,5000,0.013733,
2,332,5000,0.475825,
1,50,3805,0.001551,
2,50,3805,0.013485,
1,334,5000,0.014099,
2,334,5000,0.478517,
1,50,3817,0.001602,
2,50,3817,0.013113,
1,335,5000,0.005766,
2,335,5000,0.484909,
1,50,3829,0.001534,
2,50,3829,0.013065,
1,336,5000,0.013796,
2,336,5000,0.481802,
1,50,3842,0.001539,
2,50,3842,0.009091,
1,338,5000,0.009857,
2,338,5000,0.485891,
1,50,3854,0.001596,
2,50,3854,0.013296,
1,339,5000,0.014045,
2,339,5000,0.487975,
1,50,3866,0.001560,
2,50,3866,0.009293,
1,340,5000,0.010027,
2,340,5000,0.495735,
1,50,3878,0.001539,
2,50,3878,0.013385,
1,341,5000,0.013896,
2,341,5000,0.496015,
1,50,3891,0.001590,
2,50,3891,0.013343,
1,343,5000,0.014120,
2,343,5000,0.497246,
1,50,3903,0.001612,
2,50,3903,0.013650,
1,344,5000,0.010332,
2,344,5000,0.499931,
1,50,3915,0.001599,
2,50,3915,0.013506,
1,345,5000,0.006153,
2,345,5000,0.503786,
1,50,3928,0.001587,
2,50,3928,0.013866,
1,347,5000,0.014365,
2,347,5000,0.515673,
1,50,3940,0.001535,
2,50,3940,0.013771,
1,348,5000,0.014360,
2,348,5000,0.508328,
1,50,3952,0.001589,
2,50,3952,0.013863,
1,349,5000,0.010435,
2,349,5000,0.516153,
1,50,3964,0.001657,
2,50,3964,0.013798,
1,351,5000,0.014490,
2,351,5000,0.526731,
1,50,3977,0.001626,
2,50,3977,0.010179,
1,352,5000,0.010949,
2,352,5000,0.525978,
1,50,3989,0.001652,
2,50,3989,0.013865,
1,353,5000,0.014678,
2,353,5000,0.535478,
1,50,4001,0.001626,
2,50,4001,0.013892,
1,355,5000,0.015045,
2,355,5000,0.534388,
1,50,4013,0.001647,
2,50,4013,0.010535,
1,356,5000,0.014978,
2,356,5000,0.538894,
1,50,4026,0.001642,
2,50,4026,0.014744,
1,357,5000,0.011141,
2,357,5000,0.537500,
1,50,4038,0.001604,
2,50,4038,0.014368,
1,359,5000,0.015122,
2,359,5000,0.541630,
1,50,4050,0.001655,
2,50,4050,0.014003,
